Year,Date,Block,Sub_Plot,Treatment,ID,Group,Type,Species,Coverage
1,2022-10-17,1,4,BM,1-4-BM,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,4,BM,1-4-BM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,4,BM,1-4-BM,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,4,BM,1-4-BM,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,4,BM,1-4-BM,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,4,BM,1-4-BM,Grass,Pasture Grass,Paspalum notatum,2
1,2022-10-17,1,4,BM,1-4-BM,Forb,Obligate Forb,Pityopsis trayci,7
1,2022-10-17,1,4,BM,1-4-BM,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,4,BM,1-4-BM,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,5,LH,1-5-LH,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,5,LH,1-5-LH,Grass,Pasture Grass,Cynodon dactylon,7
1,2022-10-17,1,5,LH,1-5-LH,Sedge,Ruderal Graminoid,Cyperus spp.,3
1,2022-10-17,1,5,LH,1-5-LH,Forb,Obligate Forb,Dalea pinnata,2
1,2022-10-17,1,5,LH,1-5-LH,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,5,LH,1-5-LH,Grass,Eragrostis spectabilis,Eragrostis spectabilis,8
1,2022-10-17,1,5,LH,1-5-LH,Forb,Ruderal Forb,Lactuca canadensis,1
1,2022-10-17,1,5,LH,1-5-LH,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,5,LH,1-5-LH,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,5,LH,1-5-LH,Grass,Pasture Grass,Paspalum notatum,1
1,2022-10-17,1,5,LH,1-5-LH,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,5,LH,1-5-LH,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,5,LH,1-5-LH,Grass,Obligate Graminoid,Sorghastrum secundum,4
1,2022-10-17,1,6,BH,1-6-BH,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,6,BH,1-6-BH,Grass,Pasture Grass,Cynodon dactylon,7
1,2022-10-17,1,6,BH,1-6-BH,Sedge,Ruderal Graminoid,Cyperus spp.,3
1,2022-10-17,1,6,BH,1-6-BH,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,6,BH,1-6-BH,Forb,Ruderal Forb,Dichondra spp.,5
1,2022-10-17,1,6,BH,1-6-BH,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,6,BH,1-6-BH,Forb,Ruderal Forb,Lactuca canadensis,0
1,2022-10-17,1,6,BH,1-6-BH,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,6,BH,1-6-BH,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,6,BH,1-6-BH,Grass,Pasture Grass,Paspalum notatum,7
1,2022-10-17,1,6,BH,1-6-BH,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,6,BH,1-6-BH,Forb,Ruderal Forb,Richardia spp.,6
1,2022-10-17,1,6,BH,1-6-BH,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,7,BH,1-7-BH,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,7,BH,1-7-BH,Grass,Pasture Grass,Cynodon dactylon,7
1,2022-10-17,1,7,BH,1-7-BH,Sedge,Ruderal Graminoid,Cyperus spp.,3
1,2022-10-17,1,7,BH,1-7-BH,Forb,Obligate Forb,Dalea pinnata,6
1,2022-10-17,1,7,BH,1-7-BH,Forb,Ruderal Forb,Dichondra spp.,3
1,2022-10-17,1,7,BH,1-7-BH,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,7,BH,1-7-BH,Forb,Ruderal Forb,Lactuca canadensis,0
1,2022-10-17,1,7,BH,1-7-BH,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,7,BH,1-7-BH,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,7,BH,1-7-BH,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,7,BH,1-7-BH,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,7,BH,1-7-BH,Forb,Ruderal Forb,Richardia spp.,4
1,2022-10-17,1,7,BH,1-7-BH,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,8,LH,1-8-LH,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,8,LH,1-8-LH,Grass,Pasture Grass,Cynodon dactylon,6
1,2022-10-17,1,8,LH,1-8-LH,Sedge,Ruderal Graminoid,Cyperus spp.,2
1,2022-10-17,1,8,LH,1-8-LH,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,8,LH,1-8-LH,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,8,LH,1-8-LH,Grass,Eragrostis spectabilis,Eragrostis spectabilis,8
1,2022-10-17,1,8,LH,1-8-LH,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,8,LH,1-8-LH,Forb,Obligate Forb,Liatris gracilis,2
1,2022-10-17,1,8,LH,1-8-LH,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,8,LH,1-8-LH,Grass,Pasture Grass,Paspalum notatum,2
1,2022-10-17,1,8,LH,1-8-LH,Forb,Obligate Forb,Pityopsis trayci,5
1,2022-10-17,1,8,LH,1-8-LH,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,8,LH,1-8-LH,Grass,Obligate Graminoid,Sorghastrum secundum,5
1,2022-10-17,1,9,W,1-9-W,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,9,W,1-9-W,Grass,Aristida beyrichiana,Aristida beyrichiana,0
1,2022-10-17,1,9,W,1-9-W,Grass,Pasture Grass,Cynodon dactylon,7
1,2022-10-17,1,9,W,1-9-W,Sedge,Ruderal Graminoid,Cyperus spp.,0
1,2022-10-17,1,9,W,1-9-W,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,9,W,1-9-W,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,9,W,1-9-W,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,9,W,1-9-W,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,9,W,1-9-W,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,9,W,1-9-W,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,9,W,1-9-W,Grass,Pasture Grass,Paspalum notatum,2
1,2022-10-17,1,9,W,1-9-W,Forb,Obligate Forb,Pityopsis trayci,4
1,2022-10-17,1,9,W,1-9-W,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,9,W,1-9-W,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,10,LM,1-10-LM,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,10,LM,1-10-LM,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,10,LM,1-10-LM,Sedge,Ruderal Graminoid,Cyperus spp.,0
1,2022-10-17,1,10,LM,1-10-LM,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,10,LM,1-10-LM,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,10,LM,1-10-LM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,3
1,2022-10-17,1,10,LM,1-10-LM,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,10,LM,1-10-LM,Forb,Obligate Forb,Liatris gracilis,2
1,2022-10-17,1,10,LM,1-10-LM,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,10,LM,1-10-LM,Grass,Pasture Grass,Paspalum notatum,2
1,2022-10-17,1,10,LM,1-10-LM,Forb,Obligate Forb,Pityopsis trayci,5
1,2022-10-17,1,10,LM,1-10-LM,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,10,LM,1-10-LM,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,11,BM,1-11-BM,Grass,Andropogon virginicus,Andropogon virginicus,2
1,2022-10-17,1,11,BM,1-11-BM,Grass,Pasture Grass,Cynodon dactylon,6
1,2022-10-17,1,11,BM,1-11-BM,Sedge,Ruderal Graminoid,Cyperus spp.,0
1,2022-10-17,1,11,BM,1-11-BM,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,11,BM,1-11-BM,Forb,Ruderal Forb,Dichondra spp.,5
1,2022-10-17,1,11,BM,1-11-BM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,11,BM,1-11-BM,Forb,Ruderal Forb,Lactuca canadensis,0
1,2022-10-17,1,11,BM,1-11-BM,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,11,BM,1-11-BM,Forb,Ruderal Forb,Oxalis corniculata,3
1,2022-10-17,1,11,BM,1-11-BM,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,11,BM,1-11-BM,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,11,BM,1-11-BM,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,11,BM,1-11-BM,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,12,C,1-12-C,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,12,C,1-12-C,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,12,C,1-12-C,Sedge,Ruderal Graminoid,Cyperus spp.,4
1,2022-10-17,1,12,C,1-12-C,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,12,C,1-12-C,Forb,Ruderal Forb,Dichondra spp.,3
1,2022-10-17,1,12,C,1-12-C,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,12,C,1-12-C,Forb,Ruderal Forb,Lactuca canadensis,0
1,2022-10-17,1,12,C,1-12-C,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,12,C,1-12-C,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,12,C,1-12-C,Grass,Pasture Grass,Paspalum notatum,3
1,2022-10-17,1,12,C,1-12-C,Forb,Obligate Forb,Pityopsis trayci,0
1,2022-10-17,1,12,C,1-12-C,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,12,C,1-12-C,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,13,LM,1-13-LM,Grass,Andropogon virginicus,Andropogon virginicus,3
1,2022-10-17,1,13,LM,1-13-LM,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,13,LM,1-13-LM,Sedge,Ruderal Graminoid,Cyperus spp.,4
1,2022-10-17,1,13,LM,1-13-LM,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,13,LM,1-13-LM,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,13,LM,1-13-LM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,4
1,2022-10-17,1,13,LM,1-13-LM,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,13,LM,1-13-LM,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,13,LM,1-13-LM,Forb,Ruderal Forb,Oxalis corniculata,4
1,2022-10-17,1,13,LM,1-13-LM,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,13,LM,1-13-LM,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,13,LM,1-13-LM,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,13,LM,1-13-LM,Forb,Ruderal Forb,Rumex hastatulus,2
1,2022-10-17,1,13,LM,1-13-LM,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,14,BM,1-14-BM,Grass,Andropogon virginicus,Andropogon virginicus,4
1,2022-10-17,1,14,BM,1-14-BM,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,14,BM,1-14-BM,Sedge,Ruderal Graminoid,Cyperus spp.,3
1,2022-10-17,1,14,BM,1-14-BM,Forb,Obligate Forb,Dalea pinnata,2
1,2022-10-17,1,14,BM,1-14-BM,Forb,Ruderal Forb,Dichondra spp.,0
1,2022-10-17,1,14,BM,1-14-BM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,14,BM,1-14-BM,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,14,BM,1-14-BM,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,14,BM,1-14-BM,Forb,Ruderal Forb,Oxalis corniculata,0
1,2022-10-17,1,14,BM,1-14-BM,Grass,Pasture Grass,Paspalum notatum,5
1,2022-10-17,1,14,BM,1-14-BM,Forb,Obligate Forb,Pityopsis trayci,5
1,2022-10-17,1,14,BM,1-14-BM,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,14,BM,1-14-BM,Forb,Ruderal Forb,Rumex hastatulus,2
1,2022-10-17,1,14,BM,1-14-BM,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,15,LH,1-15-LH,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,15,LH,1-15-LH,Grass,Pasture Grass,Cynodon dactylon,6
1,2022-10-17,1,15,LH,1-15-LH,Sedge,Ruderal Graminoid,Cyperus spp.,4
1,2022-10-17,1,15,LH,1-15-LH,Forb,Obligate Forb,Dalea pinnata,4
1,2022-10-17,1,15,LH,1-15-LH,Forb,Ruderal Forb,Dichondra spp.,4
1,2022-10-17,1,15,LH,1-15-LH,Grass,Eragrostis spectabilis,Eragrostis spectabilis,8
1,2022-10-17,1,15,LH,1-15-LH,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,15,LH,1-15-LH,Forb,Obligate Forb,Liatris gracilis,3
1,2022-10-17,1,15,LH,1-15-LH,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,15,LH,1-15-LH,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,15,LH,1-15-LH,Forb,Obligate Forb,Pityopsis trayci,5
1,2022-10-17,1,15,LH,1-15-LH,Forb,Ruderal Forb,Richardia spp.,3
1,2022-10-17,1,15,LH,1-15-LH,Grass,Obligate Graminoid,Sorghastrum secundum,3
1,2022-10-17,1,16,W,1-16-W,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,16,W,1-16-W,Grass,Aristida beyrichiana,Aristida beyrichiana,0
1,2022-10-17,1,16,W,1-16-W,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,16,W,1-16-W,Sedge,Ruderal Graminoid,Cyperus spp.,3
1,2022-10-17,1,16,W,1-16-W,Forb,Obligate Forb,Dalea pinnata,4
1,2022-10-17,1,16,W,1-16-W,Forb,Ruderal Forb,Dichondra spp.,3
1,2022-10-17,1,16,W,1-16-W,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,16,W,1-16-W,Forb,Ruderal Forb,Lactuca canadensis,1
1,2022-10-17,1,16,W,1-16-W,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,16,W,1-16-W,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,16,W,1-16-W,Grass,Pasture Grass,Paspalum notatum,5
1,2022-10-17,1,16,W,1-16-W,Forb,Obligate Forb,Pityopsis trayci,7
1,2022-10-17,1,16,W,1-16-W,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,16,W,1-16-W,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,17,C,1-17-C,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,17,C,1-17-C,Forb,Ruderal Forb,Bidens alba,4
1,2022-10-17,1,17,C,1-17-C,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,17,C,1-17-C,Sedge,Ruderal Graminoid,Cyperus spp.,0
1,2022-10-17,1,17,C,1-17-C,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,17,C,1-17-C,Forb,Ruderal Forb,Dichondra spp.,3
1,2022-10-17,1,17,C,1-17-C,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,17,C,1-17-C,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,17,C,1-17-C,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,17,C,1-17-C,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,17,C,1-17-C,Grass,Pasture Grass,Paspalum notatum,5
1,2022-10-17,1,17,C,1-17-C,Forb,Obligate Forb,Pityopsis trayci,0
1,2022-10-17,1,17,C,1-17-C,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,17,C,1-17-C,Forb,Ruderal Forb,Rumex hastatulus,2
1,2022-10-17,1,17,C,1-17-C,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,18,BH,1-18-BH,Grass,Andropogon virginicus,Andropogon virginicus,2
1,2022-10-17,1,18,BH,1-18-BH,Grass,Pasture Grass,Cynodon dactylon,7
1,2022-10-17,1,18,BH,1-18-BH,Sedge,Ruderal Graminoid,Cyperus spp.,5
1,2022-10-17,1,18,BH,1-18-BH,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,18,BH,1-18-BH,Forb,Ruderal Forb,Dichondra spp.,5
1,2022-10-17,1,18,BH,1-18-BH,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,18,BH,1-18-BH,Forb,Ruderal Forb,Lactuca canadensis,0
1,2022-10-17,1,18,BH,1-18-BH,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,18,BH,1-18-BH,Forb,Ruderal Forb,Oxalis corniculata,4
1,2022-10-17,1,18,BH,1-18-BH,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,18,BH,1-18-BH,Forb,Obligate Forb,Pityopsis trayci,4
1,2022-10-17,1,18,BH,1-18-BH,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,18,BH,1-18-BH,Forb,Ruderal Forb,Rumex hastatulus,2
1,2022-10-17,1,18,BH,1-18-BH,Grass,Obligate Graminoid,Sorghastrum secundum,5
1,2022-10-17,1,19,C,1-19-C,Forb,Ruderal Forb,Acalypha gracilens,3
1,2022-10-17,1,19,C,1-19-C,Grass,Obligate Graminoid,Andropogon ternarius,0
1,2022-10-17,1,19,C,1-19-C,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,19,C,1-19-C,Grass,Pasture Grass,Cynodon dactylon,9
1,2022-10-17,1,19,C,1-19-C,Sedge,Ruderal Graminoid,Cyperus spp.,1
1,2022-10-17,1,19,C,1-19-C,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,19,C,1-19-C,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,19,C,1-19-C,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,19,C,1-19-C,Forb,Ruderal Forb,Lactuca canadensis,1
1,2022-10-17,1,19,C,1-19-C,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,19,C,1-19-C,Forb,Ruderal Forb,Oxalis corniculata,1
1,2022-10-17,1,19,C,1-19-C,Grass,Pasture Grass,Paspalum notatum,0
1,2022-10-17,1,19,C,1-19-C,Grass,Ruderal Graminoid,Paspalum setaceum,2
1,2022-10-17,1,19,C,1-19-C,Forb,Obligate Forb,Pityopsis trayci,0
1,2022-10-17,1,19,C,1-19-C,Forb,Ruderal Forb,Richardia spp.,2
1,2022-10-17,1,19,C,1-19-C,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,20,W,1-20-W,Forb,Ruderal Forb,Acalypha gracilens,2
1,2022-10-17,1,20,W,1-20-W,Grass,Obligate Graminoid,Andropogon ternarius,0
1,2022-10-17,1,20,W,1-20-W,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,20,W,1-20-W,Grass,Aristida beyrichiana,Aristida beyrichiana,0
1,2022-10-17,1,20,W,1-20-W,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,20,W,1-20-W,Sedge,Ruderal Graminoid,Cyperus spp.,4
1,2022-10-17,1,20,W,1-20-W,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,20,W,1-20-W,Forb,Ruderal Forb,Dichondra spp.,4
1,2022-10-17,1,20,W,1-20-W,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,20,W,1-20-W,Forb,Ruderal Forb,Lactuca canadensis,1
1,2022-10-17,1,20,W,1-20-W,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,20,W,1-20-W,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,20,W,1-20-W,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,20,W,1-20-W,Grass,Ruderal Graminoid,Paspalum setaceum,3
1,2022-10-17,1,20,W,1-20-W,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,20,W,1-20-W,Forb,Ruderal Forb,Richardia spp.,3
1,2022-10-17,1,20,W,1-20-W,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,21,BM,1-21-BM,Forb,Ruderal Forb,Acalypha gracilens,4
1,2022-10-17,1,21,BM,1-21-BM,Grass,Obligate Graminoid,Andropogon ternarius,1
1,2022-10-17,1,21,BM,1-21-BM,Grass,Andropogon virginicus,Andropogon virginicus,1
1,2022-10-17,1,21,BM,1-21-BM,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,21,BM,1-21-BM,Sedge,Ruderal Graminoid,Cyperus spp.,4
1,2022-10-17,1,21,BM,1-21-BM,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,21,BM,1-21-BM,Forb,Ruderal Forb,Dichondra spp.,4
1,2022-10-17,1,21,BM,1-21-BM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,21,BM,1-21-BM,Forb,Ruderal Forb,Lactuca canadensis,1
1,2022-10-17,1,21,BM,1-21-BM,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,21,BM,1-21-BM,Forb,Ruderal Forb,Oxalis corniculata,1
1,2022-10-17,1,21,BM,1-21-BM,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,21,BM,1-21-BM,Grass,Ruderal Graminoid,Paspalum setaceum,4
1,2022-10-17,1,21,BM,1-21-BM,Forb,Obligate Forb,Pityopsis trayci,7
1,2022-10-17,1,21,BM,1-21-BM,Forb,Ruderal Forb,Richardia spp.,3
1,2022-10-17,1,21,BM,1-21-BM,Grass,Obligate Graminoid,Sorghastrum secundum,4
1,2022-10-17,1,22,BH,1-22-BH,Forb,Ruderal Forb,Acalypha gracilens,3
1,2022-10-17,1,22,BH,1-22-BH,Grass,Obligate Graminoid,Andropogon ternarius,1
1,2022-10-17,1,22,BH,1-22-BH,Grass,Andropogon virginicus,Andropogon virginicus,1
